"title";"issuer";"issueDate";"expiryDate";"credentialId";"credLinkLinkedIn";"credLinkDest"
"Sound the Alarm: Detection and Response";"Google";"Oct 2025";"";"94OO056W3MKA";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F94OO056W3MKA&urlhash=Ip0Q&isSdui=true";"https://www.coursera.org/account/accomplishments/records/94OO056W3MKA"
"Assets, Threats, and Vulnerabilities";"Google";"Oct 2025";"";"9N5TPHWYZTIX";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F9N5TPHWYZTIX&urlhash=dove&isSdui=true";"https://www.coursera.org/account/accomplishments/records/9N5TPHWYZTIX"
"Certificazione Microsoft: Ingegnere Associato di Intelligenza Artificiale di Azure";"Microsoft";"Oct 2025";"Oct 2026";"EDB47B59AACA2E6A";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emicrosoft%2Ecom%2Fapi%2Fcredentials%2Fshare%2Fit-it%2FGiulioLeone%2FEDB47B59AACA2E6A%3FsharingId&urlhash=aVlf&isSdui=true";"https://learn.microsoft.com/api/credentials/share/it-it/GiulioLeone/EDB47B59AACA2E6A?sharingId"
"Tools of the Trade: Linux and SQL";"Google";"Oct 2025";"";"RDQI4I397MB0";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FRDQI4I397MB0&urlhash=hWX_&isSdui=true";"https://www.coursera.org/account/accomplishments/records/RDQI4I397MB0"
"Generative AI Leader";"Google Cloud";"Oct 2025";"";"6OYVGYZ7JG1U";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Fspecialization%2F6OYVGYZ7JG1U&urlhash=QKuF&isSdui=true";"https://www.coursera.org/account/accomplishments/specialization/6OYVGYZ7JG1U"
"Gen AI Apps: Transform Your Work";"Google Cloud";"Oct 2025";"";"QM310DCG54V9";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FQM310DCG54V9&urlhash=hJdx&isSdui=true";"https://www.coursera.org/account/accomplishments/records/QM310DCG54V9"
"Gen AI: Navigate the Landscape";"Google Cloud";"Oct 2025";"";"UC6NKNBM1EJ9";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FUC6NKNBM1EJ9&urlhash=Qv_n&isSdui=true";"https://www.coursera.org/account/accomplishments/records/UC6NKNBM1EJ9"
"Connect and Protect: Networks and Network Security";"Google";"Oct 2025";"";"DW85AADGUNGB";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FDW85AADGUNGB&urlhash=7-a4&isSdui=true";"https://www.coursera.org/account/accomplishments/records/DW85AADGUNGB"
"Play It Safe: Manage Security Risks";"Google";"Oct 2025";"";"H4JN1M1LBIOP";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FH4JN1M1LBIOP&urlhash=n4bU&isSdui=true";"https://www.coursera.org/account/accomplishments/records/H4JN1M1LBIOP"
"Foundations of Cybersecurity";"Google";"Oct 2025";"";"1D2DST5QC5WY";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F1D2DST5QC5WY&urlhash=2WBE&isSdui=true";"https://www.coursera.org/account/accomplishments/records/1D2DST5QC5WY"
"Gen AI: Unlock Foundational Concepts";"Google Cloud";"Oct 2025";"";"Y8NG1I29YEE7";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FY8NG1I29YEE7&urlhash=0ts5&isSdui=true";"https://www.coursera.org/account/accomplishments/records/Y8NG1I29YEE7"
"Gen AI: Beyond the Chatbot";"Google";"Oct 2025";"";"FHE245Q43QER";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FFHE245Q43QER&urlhash=oLX-&isSdui=true";"https://www.coursera.org/account/accomplishments/records/FHE245Q43QER"
"Foundations: Data, Data, Everywhere";"Google";"Oct 2025";"";"1RXH0A6WTOOC";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F1RXH0A6WTOOC&urlhash=COyq&isSdui=true";"https://www.coursera.org/account/accomplishments/records/1RXH0A6WTOOC"
"Google Prompting Essentials";"Google";"Oct 2025";"";"W3BMWEOEIUZ4";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Fspecialization%2FW3BMWEOEIUZ4&urlhash=9eHJ&isSdui=true";"https://www.coursera.org/account/accomplishments/specialization/W3BMWEOEIUZ4"
"Velocizza l'analisi dei dati e la creazione di presentazioni:";"Google";"Oct 2025";"";"HQXN7DV5YMIW";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FHQXN7DV5YMIW&urlhash=9T7k&isSdui=true";"https://www.coursera.org/account/accomplishments/records/HQXN7DV5YMIW"
"Resta al passo con l'AI";"Google";"Oct 2025";"";"12W8786EYGXB";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F12W8786EYGXB&urlhash=cqrO&isSdui=true";"https://www.coursera.org/account/accomplishments/records/12W8786EYGXB"
"Progetta prompt per le attività lavorative quotidiane:";"Google";"Oct 2025";"";"606BYZ3IJCHC";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F606BYZ3IJCHC&urlhash=_Pnw&isSdui=true";"https://www.coursera.org/account/accomplishments/records/606BYZ3IJCHC"
"Usa l'AI in modo responsabile";"Google";"Oct 2025";"";"IO1TTSM394ZK";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FIO1TTSM394ZK&urlhash=6mjy&isSdui=true";"https://www.coursera.org/account/accomplishments/records/IO1TTSM394ZK"
"Scopri l'arte del prompting";"Google";"Oct 2025";"";"QRE9NNLZTI7K";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FQRE9NNLZTI7K&urlhash=KAs0&isSdui=true";"https://www.coursera.org/account/accomplishments/records/QRE9NNLZTI7K"
"Massimizza la produttività con gli strumenti di AI";"Google";"Oct 2025";"";"DPFO5UM24OR1";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FDPFO5UM24OR1&urlhash=zuoZ&isSdui=true";"https://www.coursera.org/account/accomplishments/records/DPFO5UM24OR1"
"Introduzione all'AI";"Google";"Oct 2025";"";"KK1G8RS50WC4";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FKK1G8RS50WC4&urlhash=Y0mw&isSdui=true";"https://www.coursera.org/account/accomplishments/records/KK1G8RS50WC4"
"IA generativa: elevare la sua carriera nella scienza dei dati";"IBM";"Oct 2025";"";"CR88H4LG9BOC";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FCR88H4LG9BOC&urlhash=KUde&isSdui=true";"https://www.coursera.org/account/accomplishments/records/CR88H4LG9BOC"
"Che cos'è la Scienza dei dati?";"IBM";"Oct 2025";"";"M2PQMJU29YNG";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FM2PQMJU29YNG&urlhash=rCYj&isSdui=true";"https://www.coursera.org/account/accomplishments/records/M2PQMJU29YNG"
"Foundations of AI and Machine Learning";"Microsoft";"Oct 2025";"";"UDN5UC2EP5IC";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FUDN5UC2EP5IC&urlhash=BctY&isSdui=true";"https://www.coursera.org/account/accomplishments/records/UDN5UC2EP5IC"
"Getting Started with AWS Generative AI for Developers";"Amazon Web Services";"Oct 2025";"";"X354FA8GYJ0Y";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FX354FA8GYJ0Y&urlhash=O_Jv&isSdui=true";"https://www.coursera.org/account/accomplishments/records/X354FA8GYJ0Y"
"Introduzione all'apprendimento profondo e alle reti neurali con Keras";"IBM";"Oct 2025";"";"ZL0TUFOTPVFL";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FZL0TUFOTPVFL&urlhash=2R4h&isSdui=true";"https://www.coursera.org/account/accomplishments/records/ZL0TUFOTPVFL"
"Apprendimento automatico con Python";"IBM";"Oct 2025";"";"SLUQHZG87B09";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FSLUQHZG87B09&urlhash=Vj1-&isSdui=true";"https://www.coursera.org/account/accomplishments/records/SLUQHZG87B09"
"Agentic AI with LangGraph, CrewAI, AutoGen and BeeAI";"IBM";"Oct 2025";"";"WJRH3TBF6SDE";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FWJRH3TBF6SDE&urlhash=UQP7&isSdui=true";"https://www.coursera.org/account/accomplishments/records/WJRH3TBF6SDE"
"Agentic AI with LangChain and LangGraph";"IBM";"Oct 2025";"";"X1Z7N3TGPFML";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FX1Z7N3TGPFML&urlhash=_2vS&isSdui=true";"https://www.coursera.org/account/accomplishments/records/X1Z7N3TGPFML"
"Fundamentals of Building AI Agents";"IBM";"Oct 2025";"";"29PPFV7FXGFZ";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F29PPFV7FXGFZ&urlhash=84hP&isSdui=true";"https://www.coursera.org/account/accomplishments/records/29PPFV7FXGFZ"
"Build Multimodal Generative AI Applications";"IBM";"Oct 2025";"";"BXT08WS7ZAC5";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FBXT08WS7ZAC5&urlhash=8Qec&isSdui=true";"https://www.coursera.org/account/accomplishments/records/BXT08WS7ZAC5"
"Advanced RAG with Vector Databases and Retrievers";"IBM";"Oct 2025";"";"75H11NTANA2Q";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F75H11NTANA2Q&urlhash=zEht&isSdui=true";"https://www.coursera.org/account/accomplishments/records/75H11NTANA2Q"
"Vector Databases for RAG: An Introduction";"IBM";"Oct 2025";"";"3Y1W60X6AXZT";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F3Y1W60X6AXZT&urlhash=PCbM&isSdui=true";"https://www.coursera.org/account/accomplishments/records/3Y1W60X6AXZT"
"Build RAG Applications: Get Started";"IBM";"Oct 2025";"";"98SFKC8YDGGE";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F98SFKC8YDGGE&urlhash=d5b2&isSdui=true";"https://www.coursera.org/account/accomplishments/records/98SFKC8YDGGE"
"Oracle AI Vector Search Professional";"Oracle";"Oct 2025";"";"1Z0-184-25";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fbrm-certview%2Eoracle%2Ecom%2Fords%2Fcertview%2FScoreReport%3Fssn%3DOC7376684%26registrationID%3Dasx-75198c2f-0fe2-4aef-a506-7132a925a74b&urlhash=3Hvu&isSdui=true";"https://brm-certview.oracle.com/ords/certview/ScoreReport?ssn=OC7376684&registrationID=asx-75198c2f-0fe2-4aef-a506-7132a925a74b"
"Oracle Cloud Infrastructure 2025 Data Science Professional";"Oracle";"Oct 2025";"";"1Z0-1110-25";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fbrm-certview%2Eoracle%2Ecom%2Fords%2Fcertview%2FScoreReport%3Fssn%3DOC7376684%26registrationID%3Dasx-9dc94648-95d2-45f4-b605-01a24ba4a602&urlhash=5qon&isSdui=true";"https://brm-certview.oracle.com/ords/certview/ScoreReport?ssn=OC7376684&registrationID=asx-9dc94648-95d2-45f4-b605-01a24ba4a602"
"Oracle Cloud Infrastructure 2025 AI Foundations Associate";"Oracle";"Oct 2025";"";"1Z0-1122-25";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fbrm-certview%2Eoracle%2Ecom%2Fords%2Fcertview%2FScoreReport%3Fssn%3DOC7358559%26registrationID%3Dasx-485db06e-09e5-42d9-890c-1547938fd82b&urlhash=4_Nj&isSdui=true";"https://brm-certview.oracle.com/ords/certview/ScoreReport?ssn=OC7358559&registrationID=asx-485db06e-09e5-42d9-890c-1547938fd82b"
"MongoDB Associate Developer";"MongoDB";"";"";"";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecredly%2Ecom%2Fbadges%2F37c9e9aa-66c8-459a-a266-e92bb6dd0582%2Flinked_in_profile&urlhash=2ciG&isSdui=true";"https://www.credly.com/badges/37c9e9aa-66c8-459a-a266-e92bb6dd0582/linked_in_profile"
"Secure MongoDB Atlas: AuthN and AuthZ";"MongoDB";"Jul 2025";"";"MDB3tyl91sit2";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FRkW-9kvLSZmDL6YZq6VCCQ&urlhash=RU1w&isSdui=true";"https://learn.mongodb.com/c/RkW-9kvLSZmDL6YZq6VCCQ"
"Secure MongoDB Self-Managed: AuthN and AuthZ";"MongoDB";"Jul 2025";"";"MDB1rf54f44sr";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2F9RozyiXxTCuHdnOVqH36Pw&urlhash=BWIW&isSdui=true";"https://learn.mongodb.com/c/9RozyiXxTCuHdnOVqH36Pw"
"Fundamentals of Data Transformation";"MongoDB";"Jul 2025";"";"MDBwv933caodf";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FZslT7gTiTb2nU2RVK-a-tA&urlhash=2LQd&isSdui=true";"https://learn.mongodb.com/c/ZslT7gTiTb2nU2RVK-a-tA"
"CRUD Operations in MongoDB";"MongoDB";"Jul 2025";"";"MDBu3i2973ghh";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FrfQt_ARZSHCf6_D2cnyVSQ&urlhash=cL8e&isSdui=true";"https://learn.mongodb.com/c/rfQt_ARZSHCf6_D2cnyVSQ"
"Query Optimization";"MongoDB";"Jul 2025";"";"MDBa83t650tju";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FWcINus8_SrCgmg50GGlaBA&urlhash=eYGe&isSdui=true";"https://learn.mongodb.com/c/WcINus8_SrCgmg50GGlaBA"
"AI Agents with MongoDB";"MongoDB";"Jul 2025";"";"MDBhewntdmzsi";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FJS84S8IsSHSBZ8ltmJQdnA&urlhash=E8e8&isSdui=true";"https://learn.mongodb.com/c/JS84S8IsSHSBZ8ltmJQdnA"
"Vector Search Fundamentals";"MongoDB";"Jul 2025";"";"MDBjxde5ig5b7";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FcDTqVRS2Rj-IQB7ossFurg&urlhash=-bEL&isSdui=true";"https://learn.mongodb.com/c/cDTqVRS2Rj-IQB7ossFurg"
"Schema Design Optimization";"MongoDB";"Jul 2025";"";"MDBg30xgbkqn9";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FUjqJ4rRAQFyL6DIGnZNf5A&urlhash=GwtX&isSdui=true";"https://learn.mongodb.com/c/UjqJ4rRAQFyL6DIGnZNf5A"
"Advanced Schema Patterns and Antipatterns";"MongoDB";"Jul 2025";"";"MDBtj45j2h0av";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FK3PiKtoJR3mIXT7iwefLIw&urlhash=kLem&isSdui=true";"https://learn.mongodb.com/c/K3PiKtoJR3mIXT7iwefLIw"
"Schema Design Patterns and Antipatterns";"MongoDB";"Jul 2025";"";"MDBzyiz79qzrh";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FjT2Ga83eST-ubcgMpC8z-A&urlhash=hrlu&isSdui=true";"https://learn.mongodb.com/c/jT2Ga83eST-ubcgMpC8z-A"
"Relational to Document Model";"MongoDB";"Jul 2025";"";"MDB45zj55s086";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Flearn%2Emongodb%2Ecom%2Fc%2FWsMnI76LQ9eNi6_4s7ZAZQ&urlhash=9G22&isSdui=true";"https://learn.mongodb.com/c/WsMnI76LQ9eNi6_4s7ZAZQ"
"From Relational Model (SQL) to MongoDB's Document Model";"MongoDB";"Jul 2025";"";"2f3fa325-3e3d-4042-a749-19bdbc969446";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecredly%2Ecom%2Fbadges%2F2f3fa325-3e3d-4042-a749-19bdbc969446%2Flinked_in_profile&urlhash=CruQ&isSdui=true";"https://www.credly.com/badges/2f3fa325-3e3d-4042-a749-19bdbc969446/linked_in_profile"
"Neo4j Graph Data Science Certification";"Neo4j";"Jun 2025";"";"acf7149a-05df-4ae5-8c95-7573e1c96c7b";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fgraphacademy%2Eneo4j%2Ecom%2Fc%2Facf7149a-05df-4ae5-8c95-7573e1c96c7b%2F&urlhash=BR6-&isSdui=true";"https://graphacademy.neo4j.com/c/acf7149a-05df-4ae5-8c95-7573e1c96c7b/"
"Neo4j Certified Professional";"Neo4j";"Jun 2025";"";"99070288-d96c-4062-9c42-861f429a0beb";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fgraphacademy%2Eneo4j%2Ecom%2Fc%2F99070288-d96c-4062-9c42-861f429a0beb%2F&urlhash=_3I7&isSdui=true";"https://graphacademy.neo4j.com/c/99070288-d96c-4062-9c42-861f429a0beb/"
"Oracle Fusion AI Agent Studio Foundations Associate - Rel 1";"Oracle";"Oct 2025";"";"1Z0-1145-1";"";"https://catalog-education.oracle.com/ords/certview/sharebadge?id=1Z0-1145-1"
"Oracle Cloud Infrastructure 2025 Foundations Associate";"Oracle";"Oct 2025";"";"1Z0-1085-25";"";"https://catalog-education.oracle.com/ords/certview/sharebadge?id=1Z0-1085-25"
"Oracle Cloud Infrastructure 2025 Generative AI Professional";"Oracle";"Oct 2025";"";"1Z0-1127-25";"";"https://catalog-education.oracle.com/ords/certview/sharebadge?id=1Z0-1127-25"
